timestamp,total_wallet,total_margin_balance,available_balance,total_unrealized,maint_buffer,margin_ratio_pct,positions_count,open_orders_count,realized_7d
2026-04-25 00:41:16.000332+09:00,167228.10541323,149587.28204175,144058.24320948,-17640.82337148,148915.11909797002,0.4493449808068566,150,8,9.49957657
2026-04-25 08:14:44.687647+09:00,166781.22728412,148930.82790391,143412.35259519,-17850.39938021,148265.60291262,0.4466670874341762,150,8,9.49957657
2026-04-25 08:15:09.015973+09:00,166796.56036182,148958.26078939,143439.11744913,-17838.29957243,148292.87383951002,0.4466935545258421,150,8,9.49957657
2026-04-25 08:15:29.486362+09:00,166785.70931691,148937.87066608,143411.92335554,-17847.83865083,148272.52084377,0.446729780232806,150,8,9.49957657
2026-04-25 08:15:58.257150+09:00,166779.41556593,148920.16789823,143402.18443427,-17859.2476677,148254.9245487,0.4467113883356741,150,8,9.49957657
2026-04-25 08:16:39.342333+09:00,166772.5114284,148902.29956843,143382.15440319,-17870.21185997,148237.13674636,0.4467109131275139,150,8,9.49957657
2026-04-25 08:17:09.740618+09:00,166752.81622073,148888.4044465,143369.49286119,-17864.41177423,148223.32406617,0.4466972312601973,150,8,9.49957657
2026-04-25 08:17:39.303215+09:00,166771.09911157,148911.62454055,143393.85065046,-17859.47457102,148246.55507946998,0.4466202441427905,150,8,9.49957657
2026-04-25 08:18:32.464337+09:00,166768.55547557,148900.0427366,143376.96294969,-17868.51273897,148235.1133784,0.4465608914406031,150,8,9.49957657
2026-04-25 08:18:57.894106+09:00,166763.65672277,148895.73727044,143376.69330825,-17867.91945233,148230.78248633,0.4465908805046847,150,8,9.49957657
2026-04-25 08:19:28.204217+09:00,166758.70901723,148896.22205543,143377.4508284,-17862.4869618,148231.20697672,0.4466299208467714,150,8,9.49957657
2026-04-25 08:19:59.111585+09:00,166750.10724016,148883.0447367,143364.0488546,-17867.06250346,148217.96533459998,0.4467126550751259,150,8,9.49957657
2026-04-25 08:20:28.506353+09:00,166767.44459414,148825.30026056,143311.44884592,-17942.14433358,148162.03389657,0.4456677479089698,150,8,9.49957657
2026-04-25 08:20:57.855986+09:00,166721.97078466,148645.9932804,143131.87461859,-18075.97750426,147984.60576779,0.4449413657335415,150,8,9.49957657
2026-04-25 08:21:28.378208+09:00,166701.20338984,148623.43813571,143112.95531528,-18077.76525413,147961.93355376998,0.4450876592802082,150,8,9.49957657
2026-04-25 08:21:58.875629+09:00,166681.13278388,148553.00096382,143045.63400785,-18128.13182006,147892.25835055,0.4447857727431056,150,8,9.49957657
2026-04-25 08:22:28.773115+09:00,166695.77515661,148613.6439386,143080.02042937,-18082.13121801,147952.17712228,0.4450915802813409,150,8,9.49957657
2026-04-25 08:22:59.769906+09:00,166687.54800659,148592.41908466,143082.61707551,-18095.12892193,147931.20322794002,0.4449862656474249,150,8,9.49957657
2026-04-25 08:23:29.564186+09:00,166706.22778905,148608.41817027,143100.21770181,-18097.80961878,147947.30566652998,0.4448688115248773,150,8,9.49957657
2026-04-25 08:23:58.468692+09:00,166704.24779733,148617.2799544,143110.57834053,-18086.96784293,147956.09675002,0.4448898570764246,150,8,9.49957657
2026-04-25 08:24:29.168966+09:00,166742.76162989,148694.09065567,143181.56623291,-18048.67097422,148032.44096910002,0.4449737603239244,150,8,9.49957657
2026-04-25 08:24:58.729645+09:00,166736.67525736,148696.68431322,143187.82370744,-18039.99094414,148034.83313853,0.4451015015881948,150,8,9.49957657
2026-04-25 08:25:29.047911+09:00,166739.18361417,148703.48985547,143194.15933329,-18035.6937587,148041.46850999998,0.4451955674432666,150,8,9.49957657
2026-04-25 08:25:59.121463+09:00,166741.25894266,148676.90352012,143145.58227177,-18064.35542254,148015.40599961,0.444922852741873,150,8,9.49957657
2026-04-25 08:26:29.112283+09:00,166738.60935111,148663.26847918,143156.85390287,-18075.34087193,148001.96947581,0.4448301252455066,150,8,9.49957657
2026-04-25 08:26:58.840747+09:00,166784.98604301,148708.60490469,143200.74765585,-18076.38113832,148047.71857799,0.4444170040621213,150,8,9.49957657
2026-04-25 08:27:29.544375+09:00,166794.73748781,148749.34808646,143239.13906818,-18045.38940135,148087.81187064,0.4447321782112851,150,8,9.49957657
